'nb' 'pres(pa)'           'c'  'picard_factor' 'IFDEN' 'ITERA'
1    1e-08                1    0.025    1    1   
2    1000.0000000099167   1    0.025    0    0   
3    2000.0000000098332   1    0.025    0    0   
4    3000.00000000975     1    0.025    0    0   
5    4000.0000000096666   1    0.025    0    0   
6    5000.000000009583    1    0.025    0    0   
7    6000.0000000095      1    0.025    0    0   
8    7000.000000009417    1    0.025    0    0   
9    8000.000000009333    1    0.025    0    0   
10   9000.000000009251    1    0.025    1    1   
11   10000.000000009168   1    0.025    0    0   
12   11000.000000009084   1    0.025    0    0   
13   12000.000000009      1    0.025    0    0   
14   13000.000000008917   1    0.025    0    0   
15   14000.000000008835   1    0.025    0    0   
16   15000.000000008751   1    0.025    0    0   
17   16000.000000008667   1    0.025    0    0   
18   17000.000000008586   1    0.025    0    0   
19   18000.000000008502   1    0.025    1    1   
20   19000.00000000842    1    0.025    0    0   
21   20000.000000008335   1    0.025    0    0   
22   21000.00000000825    1    0.025    0    0   
23   22000.000000008167   1    0.025    0    0   
24   23000.000000008084   1    0.025    0    0   
25   24000.000000008      1    0.025    0    0   
26   25000.000000007916   1    0.025    0    0   
27   26000.000000007833   1    0.025    0    0   
28   27000.000000007753   1    0.025    1    1   
29   28000.00000000767    1    0.025    0    0   
30   29000.000000007585   1    0.025    0    0   
31   30000.0000000075     1    0.025    0    0   
32   31000.000000007418   1    0.025    0    0   
33   32000.000000007334   1    0.025    0    0   
34   33000.00000000725    1    0.025    0    0   
35   34000.00000000717    1    0.025    0    0   
36   35000.00000000708    1    0.025    0    0   
37   36000.000000007      1    0.025    1    1   
38   37000.00000000691    1    0.025    0    0   
39   38000.00000000683    1    0.025    0    0   
40   39000.000000006745   1    0.025    0    0   
41   40000.000000006665   1    0.025    0    0   
42   41000.00000000658    1    0.025    0    0   
43   42000.0000000065     1    0.025    0    0   
44   43000.00000000642    1    0.025    0    0   
45   44000.00000000633    1    0.025    0    0   
46   45000.00000000625    1    0.025    1    1   
47   46000.00000000616    1    0.025    0    0   
48   47000.00000000608    1    0.025    0    0   
49   48000.000000005995   1    0.025    0    0   
50   49000.000000005915   1    0.025    0    0   
51   50000.00000000583    1    0.025    0    0   
52   51000.00000000575    1    0.025    0    0   
53   52000.00000000566    1    0.025    0    0   
54   53000.00000000558    1    0.025    0    0   
55   54000.0000000055     1    0.025    1    1   
56   55000.00000000541    1    0.025    0    0   
57   56000.00000000533    1    0.025    0    0   
58   57000.000000005246   1    0.025    0    0   
59   58000.000000005166   1    0.025    0    0   
60   59000.00000000508    1    0.025    0    0   
61   60000.000000005      1    0.025    0    0   
62   61000.00000000491    1    0.025    0    0   
63   62000.00000000483    1    0.025    0    0   
64   63000.000000004744   1    0.025    1    1   
65   64000.000000004664   1    0.025    0    0   
66   65000.000000004584   1    0.025    0    0   
67   66000.0000000045     1    0.025    0    0   
68   67000.00000000441    1    0.025    0    0   
69   68000.00000000434    1    0.025    0    0   
70   69000.00000000425    1    0.025    0    0   
71   70000.00000000416    1    0.025    0    0   
72   71000.00000000407    1    0.025    0    0   
73   72000.000000004      1    0.025    1    1   
74   73000.00000000391    1    0.025    0    0   
75   74000.00000000383    1    0.025    0    0   
76   75000.00000000375    1    0.025    0    0   
77   76000.00000000367    1    0.025    0    0   
78   77000.00000000358    1    0.025    0    0   
79   78000.00000000349    1    0.025    0    0   
80   79000.00000000342    1    0.025    0    0   
81   80000.00000000333    1    0.025    0    0   
82   81000.00000000325    1    0.025    1    1   
83   82000.00000000316    1    0.025    0    0   
84   83000.00000000309    1    0.025    0    0   
85   84000.000000003      1    0.025    0    0   
86   85000.00000000291    1    0.025    0    0   
87   86000.00000000284    1    0.025    0    0   
88   87000.00000000275    1    0.025    0    0   
89   88000.00000000266    1    0.025    0    0   
90   89000.00000000258    1    0.025    0    0   
91   90000.0000000025     1    0.025    1    1   
92   91000.00000000242    1    0.025    0    0   
93   92000.00000000233    1    0.025    0    0   
94   93000.00000000224    1    0.025    0    0   
95   94000.00000000217    1    0.025    0    0   
96   95000.00000000208    1    0.025    0    0   
97   96000.000000002      1    0.025    0    0   
98   97000.00000000192    1    0.025    0    0   
99   98000.00000000183    1    0.025    0    0   
100  99000.00000000175    1    0.025    1    1   
101  100000.00000000166   1    0.025    0    0   
102  101000.00000000159   1    0.025    0    0   
103  102000.0000000015    1    0.025    0    0   
104  103000.00000000141   1    0.025    0    0   
105  104000.00000000132   1    0.025    0    0   
106  105000.00000000125   1    0.025    0    0   
107  106000.00000000116   1    0.025    0    0   
108  107000.00000000108   1    0.025    0    0   
109  108000.000000001     1    0.025    1    1   
110  109000.00000000092   1    0.025    0    0   
111  110000.00000000083   1    0.025    0    0   
112  111000.00000000074   1    0.025    0    0   
113  112000.00000000067   1    0.025    0    0   
114  113000.00000000058   1    0.025    0    0   
115  114000.0000000005    1    0.025    0    0   
116  115000.00000000041   1    0.025    0    0   
117  116000.00000000033   1    0.025    0    0   
118  117000.00000000025   1    0.025    1    1   
119  118000.00000000016   1    0.025    0    0   
120  119000.00000000009   1    0.025    0    0   
0    0                    0    0    0    0   
